Mutant Number        Line Number          Original Operator    Mutant Operator      Name of Mutant Test File       Mutant Killed (T/F)  Test Vector                   
1                    17                   +                    -                    001test.py                    True                 1 2 3 4 5 6 7 8 9 10 1         
2                    17                   +                    *                    002test.py                    True                 1 2 3 4 5 6 7 8 9 10 6         
3                    17                   +                    /                    003test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
4                    17                   -                    +                    004test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
5                    17                   -                    *                    005test.py                    True                 1 2 3 4 5 6 7 8 9 10 5         
6                    17                   -                    /                    006test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
7                    17                   /                    +                    007test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
8                    17                   /                    -                    008test.py                    True                 1 2 3 4 5 6 7 8 9 10 1         
9                    17                   /                    *                    009test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
10                   25                   -                    +                    010test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
11                   25                   -                    *                    011test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
12                   25                   -                    /                    012test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
13                   29                   +                    -                    013test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
14                   29                   +                    *                    014test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
15                   29                   +                    /                    015test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
16                   33                   -                    +                    016test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
17                   33                   -                    *                    017test.py                    True                 0 1 2 3 4 5 6 7 8 0            
18                   33                   -                    /                    018test.py                    True                 0 1 2 3 4 5 6 7 8 0            
19                   42                   -                    +                    019test.py                    True                 0 1 2 3 4 5 6 7 8 0            
20                   42                   -                    *                    020test.py                    True                 0 1 2 3 4 5 6 7 8 0            
21                   42                   -                    /                    021test.py                    True                 0 1 2 3 4 5 6 7 8 0            
22                   51                   -                    +                    022test.py                    True                 a b c d e f g h i j j          
23                   51                   -                    *                    023test.py                    True                 0 1 2 3 4 5 6 7 8 0            
24                   51                   -                    /                    024test.py                    True                 0 1 2 3 4 5 6 7 8 0            
25                   57                   -                    +                    025test.py                    True                 1 2 3 4 5 6 7 8 9 10 1         
26                   57                   -                    *                    026test.py                    True                 0 1 2 3 4 5 6 7 8 0            
27                   57                   -                    /                    027test.py                    True                 0 1 2 3 4 5 6 7 8 0            
28                   58                   -                    +                    028test.py                    True                 1 2 3 4 5 6 7 8 9 10 5         
29                   58                   -                    *                    029test.py                    True                 0 1 2 3 4 5 6 7 8 0            
30                   58                   -                    /                    030test.py                    True                 0 1 2 3 4 5 6 7 8 0            
31                   59                   -                    +                    031test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
32                   59                   -                    *                    032test.py                    True                 0 1 2 3 4 5 6 7 8 0            
33                   59                   -                    /                    033test.py                    True                 0 1 2 3 4 5 6 7 8 0            
34                   62                   -                    +                    034test.py                    True                 1 2 3 4 5 6 7 8 9 10 5         
35                   62                   -                    *                    035test.py                    True                 0 1 2 3 4 5 6 7 8 0            
36                   62                   -                    /                    036test.py                    True                 0 1 2 3 4 5 6 7 8 0            
37                   63                   -                    +                    037test.py                    True                 10 9 8 7 6 5 4 3 2 1 1         
38                   63                   -                    *                    038test.py                    True                 0 1 2 3 4 5 6 7 8 0            
39                   63                   -                    /                    039test.py                    True                 0 1 2 3 4 5 6 7 8 0            
40                   69                   -                    +                    040test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
41                   69                   -                    *                    041test.py                    False                                               
42                   69                   -                    /                    042test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
43                   71                   +                    -                    043test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
44                   71                   +                    *                    044test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
45                   71                   +                    /                    045test.py                    True                 1 3 4 5 6 7 8 9 10 11 2        
46                   73                   -                    +                    046test.py                    False                                               
47                   73                   -                    *                    047test.py                    True                 0 1 2 3 4 5 6 7 8 0            
48                   73                   -                    /                    048test.py                    True                 0 1 2 3 4 5 6 7 8 0            
Mutant Coverage: 95.83333333333334 %
